"Cancel Unpaid Orders", "Cancelar Pedidos No Pagados"
"Interactiv4 Cancel Unpaid Orders", "Interactiv4 Cancelar Pedidos No Pagados"
"Active", "Habilitado"
"Cancel Unpaid Orders Older Than", "Cancelar pedidos creados desde hace"
"Unpaid Order Statuses", "Cancelar pedidos con estos estados"
"Frequency", "Frecuencia"
"Start Date", "Fecha de inicio"
"Run now", "Ejecutar"
"Select the amount of time after placing an order when it should be cancelled if it has not been paid.", "Seleccionar el tiempo de espero para cancelar un pedido si no se ha pagado."
"Unpaid orders with these statuses will be cancelled. Note that paid, invoiced, or shipped orders cannot be cancelled even if they have one of these statuses. If you do not want to cancel unpaid orders in this scope, do not select any statuses.", "Pedidos no pagados con estos estados se cancelarán. Importante: pedidos pagados, enviados, o facturados no se pueden cancelar incluso si tienen uno de estos estados. Si no quieres cancelar pedidos no pagados en este alcance, no selecciones ningún estado."
"Choose how often you would like to check for unpaid orders", "Seleccionar la frecuencia de revisar pedidos no pagados"
"Only check for unpaid orders placed on or after the specified date.", "Sólo revisar pedidos creados en desde esta fecha."
"To avoid timeouts, manual invocation using this button will only cancel up to 50 orders.", "Para evitar que se supere el tiempo de espera, el uso de este botón sólo cancelarán hasta 50 pedidos."
"(Process terminated after manual invocation limit was reached)", "(Proceso terminado al llegar el límite de invocación manual)"
"Cancelled %s orders as follows:", "%s pedidos cancelados:"
"There are no orders to cancel at this time.", "No hay pedidos que cancelar en este momento."
"An error occurred whilst cancelling orders ... aborting: %s", "Se ha ocurrido un error cancelando pedidos ... abortando: %s"
"Order cancelled by Interactiv4 Cancel Unpaid Orders", "Pedido cancelado por Interactiv4 Cancel Unpaid Orders"
"Interactiv4 Cancel Unpaid Orders attempted to cancel this order, but the order could not be cancelled. No further attempts will be made.", "Interactiv4 Cancel Unpaid Orders intentó cancelar este pedido, pero el pedido no se puede cancelar. No se volverá a intentar."
"An error occurred whilst trying to cancel order %s from store %s. No further attempts will be made to cancel the order automatically. Attempt manual cancellation.", "Se ha ocurrido un error al intentar cancelar el pedido %s de la tienda %s. No se volverá a intentar. Por favor, cancela el pedido manualmente."
"Error detail: %s", "Detalle del error: %s"
"Interactiv4 Cancel Unpaid Orders attempted to cancel this order, but an error occurred. No further attempts will be made. Error Detail: %s", "Interactiv4 Cancel Unpaid Orders ha intentado cancelar este pedido, pero ha ocurrido un error. No se vuelve a intentar la cancelación. Detalle del error: %s"
"Unable to cancel order %s from store %s. No further attempts will be made.", "No se ha podido cancelar el pedido %s de la tienda %s. No se volverá a intentar."
"Order %s from store %s cancelled by Interactiv4 Cancel Unpaid Orders", "Pedido %s de la tienda %s fue cancelado por Interactiv4 Cancel Unpaid Orders"
"%s Orders Processed as follows", "%s pedidos procesados:"
